temperature_celsius,optimal_oxygen_level
10.0,1
10.2,1
10.4,1
10.6,1
10.8,1
11.0,1
11.2,1
11.4,1
11.6,1
11.8,1
12.0,1
12.2,1
12.4,1
12.6,1
12.8,1
13.0,1
13.2,1
13.4,2
13.6,1
13.8,1
14.0,3
14.2,2
14.4,2
14.6,2
14.8,2
15.1,3
15.3,2
15.5,3
15.7,3
15.9,3
16.1,3
16.3,4
16.5,3
16.7,3
16.9,4
17.1,3
17.3,4
17.5,3
17.7,3
17.9,4
18.1,4
18.3,4
18.5,4
18.7,4
18.9,4
19.1,4
19.3,4
19.5,5
19.7,5
19.9,4
20.1,5
20.3,5
20.5,5
20.7,6
20.9,6
21.1,6
21.3,5
21.5,6
21.7,6
21.9,6
22.1,6
22.3,6
22.5,6
22.7,6
22.9,7
23.1,7
23.3,7
23.5,7
23.7,7
23.9,7
24.1,7
24.3,8
24.5,7
24.7,8
24.9,6
25.2,8
25.4,8
25.6,8
25.8,8
26.0,7
26.2,8
26.4,8
26.6,9
26.8,8
27.0,8
27.2,8
27.4,9
27.6,9
27.8,9
28.0,9
28.2,10
28.4,10
28.6,10
28.8,10
29.0,10
29.2,10
29.4,10
29.6,10
29.8,10
30.0,10
